id,fam,date,who,status,early,target,pop,n,pos,features,kind,auc,note,source
A092,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤20,T_STABLE,all_dyads con rondas,45,,G,LOOCV,0.824,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A093,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤20,T_STABLE,all_dyads con rondas,45,,G,sin modelo,0.848,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A094,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤20,T_STABLE,valid_only con rondas,32,,G,LOOCV,0.8,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A095,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤20,T_STABLE,valid_only con rondas,32,,G,sin modelo,0.825,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A096,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤29,T_STABLE,all_dyads con rondas,45,,G,LOOCV,0.838,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A097,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤29,T_STABLE,all_dyads con rondas,45,,G,sin modelo,0.86,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A098,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤29,T_STABLE,valid_only con rondas,32,,G,LOOCV,0.829,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A099,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤29,T_STABLE,valid_only con rondas,32,,G,sin modelo,0.85,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A100,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,todas,45,15,G,sin modelo,0.856,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A101,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,todas,45,15,S,sin modelo,0.827,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A102,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,todas,45,15,D,sin modelo,0.733,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A103,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,todas,45,15,C,sin modelo,0.818,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A104,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,todas,45,15,G,LOOCV,0.836,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A105,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,todas,45,15,TRIO,LOOCV,0.767,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A106,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,todas,45,15,COMB,LOOCV,0.858,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A107,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,valid_only,32,15,G,sin modelo,0.824,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A108,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,valid_only,32,15,S,sin modelo,0.863,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A109,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,valid_only,32,15,D,sin modelo,0.725,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A110,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,valid_only,32,15,C,sin modelo,0.847,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A111,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,valid_only,32,15,G,LOOCV,0.796,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A112,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,valid_only,32,15,TRIO,LOOCV,0.804,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A113,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_CAT40,valid_only,32,15,COMB,LOOCV,0.82,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A114,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_O4060,todas,45,23,G,sin modelo,0.834,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A115,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_O4060,todas,45,23,S,sin modelo,0.759,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A116,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_O4060,todas,45,23,D,sin modelo,0.659,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A117,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_O4060,todas,45,23,C,sin modelo,0.741,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A118,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_O4060,todas,45,23,G,LOOCV,0.8,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A119,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_O4060,todas,45,23,TRIO,LOOCV,0.692,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A120,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_O4060,todas,45,23,COMB,LOOCV,0.775,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A121,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES,todas,45,11,G,sin modelo,0.837,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A122,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES,todas,45,11,S,sin modelo,0.818,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A123,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES,todas,45,11,D,sin modelo,0.845,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A124,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES,todas,45,11,C,sin modelo,0.818,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A125,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES,todas,45,11,G,LOOCV,0.816,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A126,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES,todas,45,11,TRIO,LOOCV,0.818,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A127,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES,todas,45,11,COMB,LOOCV,0.834,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A128,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES_IO,todas,45,12,G,sin modelo,0.846,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A129,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES_IO,todas,45,12,S,sin modelo,0.795,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A130,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES_IO,todas,45,12,D,sin modelo,0.831,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A131,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES_IO,todas,45,12,C,sin modelo,0.783,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A132,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES_IO,todas,45,12,G,LOOCV,0.823,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A133,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES_IO,todas,45,12,TRIO,LOOCV,0.783,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A134,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_MODES_IO,todas,45,12,COMB,LOOCV,0.848,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A135,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_SCORE,todas,45,22,G,sin modelo,0.765,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A136,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_SCORE,todas,45,22,S,sin modelo,0.864,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A137,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_SCORE,todas,45,22,D,sin modelo,0.827,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A138,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_SCORE,todas,45,22,C,sin modelo,0.824,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A139,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_SCORE,todas,45,22,G,LOOCV,0.745,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A140,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_SCORE,todas,45,22,TRIO,LOOCV,0.856,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A141,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_SCORE,todas,45,22,COMB,LOOCV,0.905,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A142,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,all_dyads,45,21,G,LOOCV,0.784,"ORIENT_MIN_SCORE=0,20 con cualquier ratio. Con 0,25 o 0,30 no cambia: 0,804.","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A143,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,valid_only,32,21,G,LOOCV,0.753,"ORIENT_MIN_SCORE=0,20.","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A144,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,all_dyads,45,,G,LOOCV,0.817,"Límites de tamaño de partición [1,63] en lugar de [10,54].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A145,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,valid_only,39,,G,LOOCV,0.807,"Límites de tamaño de partición [1,63].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A146,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,all_dyads,45,,G,LOOCV,0.817,"Límites de tamaño de partición [5,59] en lugar de [10,54].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A147,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,valid_only,36,,G,LOOCV,0.8,"Límites de tamaño de partición [5,59].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A148,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,all_dyads,45,,G,LOOCV,0.817,"Límites de tamaño de partición [8,56] en lugar de [10,54].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A149,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,valid_only,36,,G,LOOCV,0.8,"Límites de tamaño de partición [8,56].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A150,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,all_dyads,45,,G,LOOCV,0.804,"Límites de tamaño de partición [12,52] en lugar de [10,54].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A151,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,valid_only,30,,G,LOOCV,0.775,"Límites de tamaño de partición [12,52].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A152,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,all_dyads,45,,G,LOOCV,0.813,"Límites de tamaño de partición [16,48] en lugar de [10,54].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A153,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,valid_only,30,,G,LOOCV,0.788,"Límites de tamaño de partición [16,48].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A154,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,all_dyads,45,,G,LOOCV,0.804,"Límites de tamaño de partición [20,44] en lugar de [10,54].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A155,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5,T_STABLE*,valid_only,23,,G,LOOCV,0.433,"Límites de tamaño de partición [20,44].","~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A156,F6,2026-09-10,Subagente 'geometría' del workflow de Claude,AGENT,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,G_proj,LOOCV,0.806,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/geometria/D_templates_projection.py, D_out.txt"
A157,F6,2026-09-10,Subagente 'geometría' del workflow de Claude,AGENT,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,G_proj,sin modelo,0.834,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/geometria/D_templates_projection.py, D_out.txt"
A158,F6,2026-09-10,Subagente 'geometría' del workflow de Claude,AGENT,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,G_eig,LOOCV,0.808,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/geometria/D_templates_projection.py, D_out.txt"
A159,F6,2026-09-10,Subagente 'geometría' del workflow de Claude,AGENT,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,G_eig,sin modelo,0.842,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/geometria/D_templates_projection.py, D_out.txt"
A160,F6,2026-09-10,Subagente 'geometría' del workflow de Claude,AGENT,E_H5,T_STABLE,valid_only,32,20,G_proj,LOOCV,0.7875,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/geometria/D_templates_projection.py, D_out.txt"
A161,F6,2026-09-10,Subagente 'geometría' del workflow de Claude,AGENT,E_H5,T_STABLE,valid_only,32,20,G_proj,sin modelo,0.8292,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/geometria/D_templates_projection.py, D_out.txt"
A162,F6,2026-09-10,Subagente 'geometría' del workflow de Claude,AGENT,E_H5,T_STABLE,valid_only,32,20,G_eig,LOOCV,0.7875,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/geometria/D_templates_projection.py, D_out.txt"
A163,F6,2026-09-10,Subagente 'geometría' del workflow de Claude,AGENT,E_H5,T_STABLE,valid_only,32,20,G_eig,sin modelo,0.8417,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/geometria/D_templates_projection.py, D_out.txt"
